DATE,HOME_TEAM,AWAY_TEAM,HOME_GOALS,AWAY_GOALS,EXPECTED_GOALS_HOME,EXPECTED_GOALS_AWAY,TEAM_POSSESION_HOME,TEAM_POSSESION_AWAY,TOTAL_SHOTS_HOME,TOTAL_SHOTS_AWAY,SHOTS_ON_TARGET_HOME,SHOTS_ON_TARGET_AWAY,BIG_CHANCES_HOME,BIG_CHANCES AWAY,CORNERS_HOME,CORNERS_AWAY,%_PASSES_SUCCEED_HOME,%_PASSES_SUCCEED_AWAY,EXPECTED_GOALS_REMATES_À_BALIZA_HOME,EXPECTED_GOALS_REMATES_À_BALIZA_AWAY,SHOTS_OF_TARGET_HOME,SHOTS_OF_TARGET_AWAY,BLOCKED_SHOTS_HOME,BLOCKED_SHOTS_AWAY,SHOTS_INSIDE_THE_BOX_HOME,SHOTS_INSIDE_THE_BOX_AWAY,SHOTS_OUTSIDE_THE_BOX_HOME,SHOTS_OUTSIDE_THE_BOX_AWAY,SHOTS_AT_CROSSBAR_HOME,SHOTS_AT_CROSSBAR_AWAY,TOUCHES_IN_THE_OPPOSITION_AREA_HOME,TOUCHES_IN_THE_OPPOSITION_AREA_AWAY,ACCURATE_DEEP_PASSES_HOME,ACCURATE_DEEP_PASSES_AWAY,OFFSIDES_HOME,OFFSIDES_AWAY,FREE_KICK_HOME,FREE_KICK_AWAY,%_LONG_PASSES_HOME,%_LONG_PASSES_AWAY,%_PASSES_FINAL_THIRD_HOME,%_PASSES_FINAL_THIRD_AWAY,%_CROSSES_HOME,%_CROSSES_AWAY,EXPECTED_ASSISTS_HOME,EXPECTED_ASSISTS_AWAY,THROWS_HOME,THROWS_AWAY,FOULS_HOME,FOULS_AWAY,%_TACKLES_HOME,%_TACKLES_AWAY,DUELS_WON_HOME,DUELS_WON_AWAY,CLEARENCES_HOME,CLEARENCES_AWAY,INTERCEPTIONS_HOME,INTERCEPTIONS_AWAY,ERRORS_THAT_LEAD_TO_SHOTS_HOME,ERRORS_THAT_LEAD_TO_SHOTS_AWAY,ERROS_THAT_LEAD_TO_GOAL_HOME,ERROS_THAT_LEAD_TO_GOAL_AWAY,EXPECTED_GOALS_ON_TARGET_FACED_HOME,EXPECTED_GOALS_ON_TARGET_FACED_AWAY,GOLS_PREVENTED_HOME,GOLS_PREVENTED_AWAY
24-08-2025,Crystal Palace,Nottingham,1,1,1.10,0.93,42%,58%,8,9,4,1,2,2,1,3,76%,86%,0.83,0.26,4,7,0,1,7,8,1,1,1,1,21,20,0,2,2,2,11,10,16%,55%,56%,69%,33%,12%,0.90,0.82,14,16,11,11,55%,58%,49,45,21,15,7,10,0,0,0,1,0.26,0.83,-0.74,-0.17
24-08-2025,Everton,Brighton,2,0,1.59,2.44,42%,58%,11,13,3,4,2,3,2,2,75%,84%,1.21,1.54,7,5,1,4,6,7,5,6,0,2,18,29,0,0,0,6,15,6,45%,27%,61%,68%,33%,27%,0.99,0.87,19,27,7,15,53%,47%,70,47,35,24,8,5,2,0,0,0,1.54,1.21,1.54,-0.79
23-08-2025,Arsenal,Leeds,5,0,2.88,0.17,68%,32%,18,3,5,1,3,0,2,2,92%,76%,2.77,0.14,9,0,4,2,13,2,5,1,0,0,34,6,1,0,0,0,11,8,69%,35%,76%,58%,42%,20%,0.90,0.12,28,14,8,11,62%,71%,48,33,7,20,5,6,0,1,0,0,0.14,2.77,0.14,-2.23
23-08-2025,Bournemouth,Wolves,1,0,1.29,0.47,59%,41%,14,6,4,1,3,0,8,3,87%,73%,0.93,0.24,5,3,5,2,8,3,6,3,1,0,30,14,1,0,2,2,16,13,45%,49%,78%,59%,15%,29%,1.13,0.37,24,18,13,16,75%,67%,45,64,32,30,6,9,0,0,0,1,0.24,0.93,0.24,-0.07
23-08-2025,Brentford,Aston Villa,1,0,1.22,1.20,24%,76%,9,17,2,2,2,1,2,9,72%,88%,1.36,0.14,4,7,3,8,8,12,1,5,0,0,25,43,1,1,1,0,9,11,48%,61%,53%,76%,45%,15%,0.35,1.52,13,23,11,9,54%,86%,62,52,45,12,11,6,0,0,0,0,0.14,1.36,0.14,0.36
23-08-2025,Burnley,Sunderland,2,0,1.00,0.78,42%,58%,7,9,2,1,2,2,4,3,81%,86%,1.58,0.70,4,3,1,5,4,6,3,3,1,0,17,17,1,1,0,2,5,9,26%,36%,69%,77%,27%,21%,0.49,0.61,11,19,9,5,50%,44%,45,48,29,27,7,7,0,0,0,0,0.70,1.58,0.70,-0.42
23-08-2025,Manchester City,Tottenham,0,2,1.55,1.11,61%,39%,10,12,4,5,2,3,7,2,87%,78%,0.64,2.08,3,5,3,2,6,10,4,2,0,0,34,26,1,0,0,1,12,7,38%,34%,77%,62%,26%,36%,1.56,0.45,23,21,7,12,50%,67%,51,47,23,25,6,7,1,1,1,0,2.08,0.64,0.08,0.64
22-08-2025,West Ham,Chelsea,1,5,0.73,2.74,41%,59%,12,12,4,7,1,7,7,5,86%,88%,0.32,5.13,5,4,3,1,9,10,3,2,0,0,19,26,0,1,4,2,9,7,43%,40%,77%,67%,44%,20%,0.66,1.47,25,14,7,10,55%,68%,39,45,29,17,7,4,1,0,1,0,5.13,0.32,0.13,-0.68
18-08-2025,Leeds,Everton,1,0,2.14,0.80,54%,46%,21,7,3,1,3,1,7,2,83%,79%,1.07,0.10,7,3,11,3,12,5,9,2,0,0,28,14,0,0,1,2,7,6,45%,32%,73%,62%,27%,36%,0.84,0.44,23,21,6,8,47%,75%,45,47,30,31,9,2,0,2,0,0,0.10,1.07,0.10,0.07
17-08-2025,Manchester Utd,Arsenal,0,1,1.52,1.30,61%,39%,22,9,7,3,0,1,3,4,83%,74%,0.75,1.21,7,3,8,3,15,5,7,4,1,0,36,20,2,1,1,2,19,10,61%,41%,74%,61%,20%,18%,0.94,0.51,20,15,10,19,50%,56%,70,53,23,30,4,4,0,0,1,0,1.21,0.75,0.21,0.75
17-08-2025,Chelsea,Crystal Palace,0,0,1.61,0.66,71%,29%,19,11,3,4,2,1,11,2,90%,74%,0.65,0.26,7,3,9,4,11,4,8,7,0,0,31,8,1,0,0,0,10,10,43%,42%,79%,52%,21%,9%,1.34,0.09,21,18,10,12,46%,81%,52,47,19,41,11,7,1,1,0,0,0.26,0.65,-0.74,0.65
17-08-2025,Nottingham,Brentford,3,1,1.83,1.49,54%,46%,11,10,5,3,4,1,5,5,82%,78%,2.43,1.47,4,4,2,3,6,7,5,3,0,0,25,19,2,0,2,0,15,5,33%,32%,75%,51%,21%,19%,1.00,0.26,19,19,7,15,58%,30%,53,48,24,27,9,5,2,0,0,1,1.47,2.43,0.47,-0.57
16-08-2025,Wolves,Manchester City,0,4,0.56,2.46,42%,58%,9,15,3,4,0,3,4,5,83%,91%,0.74,2.27,3,7,3,4,6,8,3,7,0,0,19,28,1,1,4,0,7,13,50%,43%,66%,84%,20%,30%,0.32,1.46,24,17,13,7,68%,61%,42,55,20,22,6,7,0,2,1,0,2.27,0.74,-1.73,0.74
16-08-2025,Brighton,Fulham,1,1,1.47,0.76,50%,50%,10,7,4,2,2,2,4,3,88%,83%,1.02,0.73,5,4,1,1,6,5,4,2,0,0,25,19,0,0,3,2,15,16,56%,55%,73%,64%,36%,21%,0.61,0.51,10,20,16,15,47%,53%,51,44,27,15,9,2,0,1,0,0,0.73,1.02,-0.27,0.02
16-08-2025,Sunderland,West Ham,3,0,0.68,0.56,37%,63%,10,12,5,4,2,0,5,7,77%,85%,1.76,0.37,4,2,1,6,9,7,1,5,0,0,15,28,0,0,0,0,10,8,33%,44%,65%,73%,29%,19%,0.32,0.54,17,20,8,10,36%,58%,42,46,32,16,9,4,1,0,0,0,0.37,1.76,0.37,-1.24
16-08-2025,Tottenham,Burnley,3,0,2.32,0.93,67%,33%,16,14,6,4,2,1,6,5,88%,74%,2.60,1.07,9,7,1,3,12,7,4,7,0,0,26,25,1,1,0,4,7,14,48%,40%,79%,66%,30%,21%,1.28,0.98,17,15,14,8,75%,33%,47,45,26,25,1,7,1,0,0,0,1.07,2.60,1.07,-0.40
16-08-2025,Aston Villa,Newcastle,0,0,0.20,1.44,40%,60%,3,16,3,3,1,2,3,6,73%,83%,0.20,0.64,0,6,0,7,3,9,0,7,0,0,14,33,0,1,2,1,11,13,29%,49%,55%,76%,27%,23%,0.24,0.88,18,9,13,11,45%,80%,40,43,20,22,10,12,0,0,0,0,0.64,0.20,0.64,0.20
15-08-2025,Liverpool,Bournemouth,4,2,2.21,1.70,61%,39%,19,10,10,3,3,3,6,7,82%,70%,3.05,0.82,7,4,2,3,15,8,4,2,0,0,36,28,0,0,2,2,10,6,57%,34%,68%,52%,29%,25%,1.07,0.65,27,17,7,10,81%,60%,63,52,41,45,4,11,0,0,1,0,0.82,3.05,-1.18,-0.95
