DATE,HOME_TEAM,AWAY_TEAM,HOME_GOALS,AWAY_GOALS,EXPECTED_GOALS_HOME,EXPECTED_GOALS_AWAY,TEAM_POSSESION_HOME,TEAM_POSSESION_AWAY,TOTAL_SHOTS_HOME,TOTAL_SHOTS_AWAY,SHOTS_ON_TARGET_HOME,SHOTS_ON_TARGET_AWAY,BIG_CHANCES_HOME,BIG_CHANCES AWAY,CORNERS_HOME,CORNERS_AWAY,%_PASSES_SUCCEED_HOME,%_PASSES_SUCCEED_AWAY,EXPECTED_GOALS_REMATES_À_BALIZA_HOME,EXPECTED_GOALS_REMATES_À_BALIZA_AWAY,SHOTS_OF_TARGET_HOME,SHOTS_OF_TARGET_AWAY,BLOCKED_SHOTS_HOME,BLOCKED_SHOTS_AWAY,SHOTS_INSIDE_THE_BOX_HOME,SHOTS_INSIDE_THE_BOX_AWAY,SHOTS_OUTSIDE_THE_BOX_HOME,SHOTS_OUTSIDE_THE_BOX_AWAY,SHOTS_AT_CROSSBAR_HOME,SHOTS_AT_CROSSBAR_AWAY,TOUCHES_IN_THE_OPPOSITION_AREA_HOME,TOUCHES_IN_THE_OPPOSITION_AREA_AWAY,ACCURATE_DEEP_PASSES_HOME,ACCURATE_DEEP_PASSES_AWAY,OFFSIDES_HOME,OFFSIDES_AWAY,FREE_KICK_HOME,FREE_KICK_AWAY,%_LONG_PASSES_HOME,%_LONG_PASSES_AWAY,%_PASSES_FINAL_THIRD_HOME,%_PASSES_FINAL_THIRD_AWAY,%_CROSSES_HOME,%_CROSSES_AWAY,EXPECTED_ASSISTS_HOME,EXPECTED_ASSISTS_AWAY,THROWS_HOME,THROWS_AWAY,FOULS_HOME,FOULS_AWAY,%_TACKLES_HOME,%_TACKLES_AWAY,DUELS_WON_HOME,DUELS_WON_AWAY,CLEARENCES_HOME,CLEARENCES_AWAY,INTERCEPTIONS_HOME,INTERCEPTIONS_AWAY,ERRORS_THAT_LEAD_TO_SHOTS_HOME,ERRORS_THAT_LEAD_TO_SHOTS_AWAY,ERROS_THAT_LEAD_TO_GOAL_HOME,ERROS_THAT_LEAD_TO_GOAL_AWAY,EXPECTED_GOALS_ON_TARGET_FACED_HOME,EXPECTED_GOALS_ON_TARGET_FACED_AWAY,GOLS_PREVENTED_HOME,GOLS_PREVENTED_AWAY
24-08-2025,Real Sociedad,Espanyol,2,2,1.09,1.81,62%,38%,15,14,7,3,3,3,5,2,87%,70%,2.07,1.73,4,7,4,4,11,5,4,9,0,0,26,14,3,0,1,1,17,15,57%,26%,75%,54%,25%,38%,1.12,0.73,19,21,16,18,44%,62%,60,56,27,19,5,6,0,0,0,1,1.73,2.07,-0.27,0.07
24-08-2025,Villarreal,Girona,5,0,2.29,0.14,53%,47%,19,5,7,2,4,0,8,1,90%,91%,1.92,0.05,7,1,5,2,13,3,6,2,0,0,39,16,1,0,3,0,9,8,52%,59%,79%,81%,29%,10%,2.11,0.26,15,15,8,9,41%,50%,55,37,13,26,5,6,0,0,0,1,0.05,1.92,0.05,-3.08
24-08-2025,Osasuna,Valencia,1,0,0.83,0.41,56%,44%,16,4,4,1,1,1,3,4,82%,80%,0.65,0.02,6,2,6,1,9,1,7,3,0,0,25,7,0,0,2,1,13,12,58%,36%,72%,61%,11%,8%,0.65,0.51,15,21,14,13,77%,58%,48,32,18,32,8,5,0,0,0,0,0.02,0.65,0.02,-0.35
23-08-2025,Levante,Barcelona,2,3,2.14,1.93,18%,82%,8,26,5,10,6,3,0,11,58%,92%,2.69,2.53,1,8,2,8,8,16,0,10,0,1,17,60,1,1,6,0,6,10,33%,43%,51%,85%,20%,27%,0.37,2.97,15,18,10,8,42%,36%,53,46,44,12,8,5,0,0,0,0,2.53,2.69,0.53,0.69
23-08-2025,Atl. Madrid,Elche,1,1,1.73,0.57,58%,42%,13,6,6,2,3,1,10,2,85%,81%,0.93,0.41,4,3,3,1,7,5,6,1,0,0,38,11,0,0,3,0,7,12,49%,35%,80%,59%,24%,25%,1.12,0.33,20,14,14,7,60%,42%,46,52,11,28,9,12,0,0,0,0,0.41,0.93,-0.59,-0.07
23-08-2025,Mallorca,Celta Vigo,1,1,0.67,0.74,50%,50%,12,8,4,2,1,2,3,4,86%,87%,1.04,0.35,7,4,1,2,8,3,4,5,0,0,19,9,0,3,1,1,12,11,59%,51%,71%,75%,33%,9%,0.84,0.46,16,16,12,12,67%,45%,31,35,8,25,3,7,0,1,0,0,0.35,1.04,-0.65,0.04
22-08-2025,Betis,Alaves,1,0,1.95,1.13,49%,51%,16,11,5,5,3,3,5,2,86%,82%,1.41,0.33,7,5,4,1,10,6,6,5,1,0,30,11,0,0,2,3,14,10,57%,45%,72%,69%,32%,25%,1.03,0.37,15,19,10,17,45%,43%,51,63,31,27,11,7,1,1,0,0,0.33,1.41,0.33,0.41
19-08-2025,Real Madrid,Osasuna,1,0,1.64,0.36,71%,29%,18,2,5,0,1,0,7,0,91%,76%,1.31,0.00,7,2,6,0,11,2,7,0,0,0,35,8,0,0,0,0,12,10,63%,45%,87%,59%,42%,22%,1.25,0.25,20,16,10,12,63%,60%,50,48,17,40,6,7,1,0,0,0,0.00,1.31,0.00,0.31
18-08-2025,Elche,Betis,1,1,0.64,1.86,68%,32%,6,12,2,4,2,2,1,3,90%,81%,0.73,1.54,3,4,1,4,3,6,3,6,0,0,17,15,0,3,4,0,10,14,57%,33%,78%,77%,20%,33%,0.83,0.77,14,10,14,13,77%,56%,39,48,15,34,6,7,1,0,0,0,1.54,0.73,0.54,-0.27
17-08-2025,Espanyol,Atl. Madrid,2,1,1.26,1.10,40%,60%,10,15,5,4,2,1,1,3,82%,89%,1.45,1.26,4,7,1,4,6,9,3,6,0,1,16,25,0,2,0,1,10,13,47%,63%,65%,82%,33%,27%,0.90,1.30,13,10,14,11,70%,64%,47,48,21,22,5,5,0,0,0,0,1.26,1.45,0.26,-0.55
17-08-2025,Ath. Bilbao,Sevilla,3,2,2.89,1.00,46%,54%,14,12,3,6,3,1,10,1,78%,83%,2.59,1.74,3,4,8,2,11,10,3,2,1,1,29,22,0,0,0,8,11,8,28%,39%,58%,69%,19%,20%,1.08,0.52,21,17,8,12,64%,67%,40,41,12,31,6,12,0,1,0,0,1.74,2.59,-0.26,-0.41
17-08-2025,Celta Vigo,Getafe,0,2,0.73,1.43,69%,31%,11,10,3,3,1,2,9,3,88%,73%,0.45,1.72,3,3,5,4,6,6,5,4,0,0,28,19,3,0,2,0,15,15,57%,38%,78%,59%,23%,0%,1.25,0.90,22,14,15,17,52%,86%,51,54,22,24,2,10,1,1,1,0,1.72,0.45,-0.28,0.45
16-08-2025,Alaves,Levante,2,1,1.29,0.87,62%,38%,15,7,4,3,2,2,10,1,81%,67%,2.22,1.34,7,1,4,3,10,4,5,3,0,0,24,9,0,0,1,3,12,14,47%,34%,70%,44%,24%,31%,1.22,0.20,26,21,15,13,67%,69%,53,54,22,33,10,4,0,0,0,1,1.34,2.22,0.34,0.22
16-08-2025,Valencia,Real Sociedad,1,1,2.04,0.81,54%,46%,18,13,2,3,2,1,8,7,86%,86%,0.52,0.57,7,7,9,3,11,6,7,7,0,0,31,24,2,2,1,2,11,5,63%,63%,68%,77%,21%,15%,1.33,0.66,17,19,5,11,42%,74%,38,37,26,36,5,4,0,0,0,0,0.57,0.52,-0.43,-0.48
16-08-2025,Mallorca,Barcelona,0,3,0.20,2.14,29%,71%,4,24,1,8,1,1,3,6,68%,89%,0.22,2.54,2,9,1,7,3,11,1,13,0,2,11,43,0,1,2,3,17,8,29%,66%,43%,83%,22%,22%,0.18,2.06,18,14,8,17,25%,73%,36,43,19,14,6,6,0,0,0,0,2.54,0.22,-0.46,0.22
15-08-2025,Villarreal,R. Oviedo,2,0,2.44,0.92,68%,32%,25,5,10,4,4,1,10,1,92%,82%,2.19,1.09,11,1,4,0,17,3,8,2,0,0,53,7,0,0,0,1,8,7,64%,61%,86%,55%,31%,50%,2.90,0.14,24,11,10,8,82%,64%,30,38,6,29,14,5,1,2,0,0,1.09,2.19,1.09,0.19
15-08-2025,Girona,Rayo Vallecano,1,3,0.56,3.44,44%,56%,7,16,2,5,1,4,2,4,77%,86%,0.72,3.20,2,10,3,1,3,12,4,4,0,0,9,26,0,1,1,1,16,8,34%,42%,60%,74%,17%,60%,0.51,1.74,25,19,8,17,69%,48%,53,58,18,18,3,8,2,1,1,0,3.20,0.72,0.20,-0.28
