DATE,HOME_TEAM,AWAY_TEAM,HOME_GOALS,AWAY_GOALS,EXPECTED_GOALS_HOME,EXPECTED_GOALS_AWAY,TEAM_POSSESION_HOME,TEAM_POSSESION_AWAY,TOTAL_SHOTS_HOME,TOTAL_SHOTS_AWAY,SHOTS_ON_TARGET_HOME,SHOTS_ON_TARGET_AWAY,BIG_CHANCES_HOME,BIG_CHANCES AWAY,CORNERS_HOME,CORNERS_AWAY,%_PASSES_SUCCEED_HOME,%_PASSES_SUCCEED_AWAY,EXPECTED_GOALS_REMATES_À_BALIZA_HOME,EXPECTED_GOALS_REMATES_À_BALIZA_AWAY,SHOTS_OF_TARGET_HOME,SHOTS_OF_TARGET_AWAY,BLOCKED_SHOTS_HOME,BLOCKED_SHOTS_AWAY,SHOTS_INSIDE_THE_BOX_HOME,SHOTS_INSIDE_THE_BOX_AWAY,SHOTS_OUTSIDE_THE_BOX_HOME,SHOTS_OUTSIDE_THE_BOX_AWAY,SHOTS_AT_CROSSBAR_HOME,SHOTS_AT_CROSSBAR_AWAY,TOUCHES_IN_THE_OPPOSITION_AREA_HOME,TOUCHES_IN_THE_OPPOSITION_AREA_AWAY,ACCURATE_DEEP_PASSES_HOME,ACCURATE_DEEP_PASSES_AWAY,OFFSIDES_HOME,OFFSIDES_AWAY,FREE_KICK_HOME,FREE_KICK_AWAY,%_LONG_PASSES_HOME,%_LONG_PASSES_AWAY,%_PASSES_FINAL_THIRD_HOME,%_PASSES_FINAL_THIRD_AWAY,%_CROSSES_HOME,%_CROSSES_AWAY,EXPECTED_ASSISTS_HOME,EXPECTED_ASSISTS_AWAY,THROWS_HOME,THROWS_AWAY,FOULS_HOME,FOULS_AWAY,%_TACKLES_HOME,%_TACKLES_AWAY,DUELS_WON_HOME,DUELS_WON_AWAY,CLEARENCES_HOME,CLEARENCES_AWAY,INTERCEPTIONS_HOME,INTERCEPTIONS_AWAY,ERRORS_THAT_LEAD_TO_SHOTS_HOME,ERRORS_THAT_LEAD_TO_SHOTS_AWAY,ERROS_THAT_LEAD_TO_GOAL_HOME,ERROS_THAT_LEAD_TO_GOAL_AWAY,EXPECTED_GOALS_ON_TARGET_FACED_HOME,EXPECTED_GOALS_ON_TARGET_FACED_AWAY,GOLS_PREVENTED_HOME,GOLS_PREVENTED_AWAY
10-08-2025,Palmeiras,Ceara,2,1,1.43,0.32,61%,39%,8,7,5,4,2,2,3,3,85%,76%,2.08,1.06,3,2,0,1,5,4,3,3,0,0,17,10,0,1,5,3,10,7,54%,43%,68%,67%,13%,15%,0.50,0.32,18,20,8,12,64%,67%,59,46,26,46,9,3,0,0,0,0,1.06,2.08,0.06,0.08
10-08-2025,Vasco,Atletico-MG,1,1,1.73,0.99,55%,45%,15,17,4,4,4,1,6,10,87%,81%,1.34,0.50,8,7,3,6,8,8,7,9,1,0,16,19,0,1,0,2,9,10,41%,52%,69%,66%,27%,26%,0.90,1.23,19,20,10,9,79%,55%,47,42,33,19,7,8,0,1,0,0,0.50,1.34,-0.50,0.34
10-08-2025,Bahia,Fluminense,3,3,1.48,0.54,60%,40%,17,8,6,5,3,2,8,2,86%,81%,2.03,1.98,4,3,7,0,12,6,5,2,0,1,43,10,1,0,1,1,13,17,55%,50%,80%,67%,39%,22%,2.52,0.24,15,17,17,13,73%,67%,36,48,13,29,5,8,0,2,1,0,1.98,2.03,-1.02,0.03
10-08-2025,Fortaleza,Botafogo RJ,0,5,0.39,1.94,43%,57%,9,21,1,12,0,4,2,8,84%,90%,0.01,3.26,3,5,5,4,4,9,5,12,0,1,16,24,2,1,1,1,12,8,56%,62%,72%,80%,18%,31%,0.93,0.92,12,9,8,12,63%,64%,36,38,15,21,6,10,1,1,0,0,3.26,0.01,-1.74,0.01
09-08-2025,Flamengo,Mirassol,2,1,1.34,2.14,49%,51%,24,13,8,5,2,3,11,10,86%,85%,2.46,1.61,4,5,12,3,17,6,7,7,0,0,47,18,0,0,0,1,13,23,50%,54%,85%,68%,23%,21%,1.33,1.27,13,18,23,13,56%,55%,53,71,33,39,8,5,2,0,0,0,1.61,2.46,0.61,0.46
09-08-2025,RB Bragantino,Internacional,1,3,1.35,2.69,50%,50%,17,14,8,6,2,5,8,6,82%,86%,0.84,1.74,3,5,6,3,12,7,5,7,0,0,26,21,0,1,1,4,10,6,65%,50%,68%,81%,21%,21%,0.56,1.58,28,8,7,12,62%,63%,45,54,12,26,6,9,0,0,1,0,1.74,0.84,-1.26,-0.16
09-08-2025,Sao Paulo,Vitoria,2,0,2.54,0.32,56%,44%,23,5,3,1,2,0,4,3,87%,80%,2.15,0.56,11,2,9,2,16,4,7,1,1,1,31,13,0,0,0,2,10,16,55%,51%,84%,59%,33%,19%,0.95,0.46,25,25,16,10,71%,58%,45,55,22,17,8,8,0,0,0,0,0.56,2.15,0.56,0.15
05-08-2025,Santos,Juventude,3,1,2.63,1.63,49%,51%,19,20,8,10,3,4,3,8,84%,87%,3.11,3.03,7,7,4,3,13,11,6,9,1,1,32,20,0,0,0,3,17,18,42%,68%,72%,80%,35%,24%,0.82,0.53,14,16,18,17,58%,65%,49,46,22,22,5,1,0,1,0,1,3.03,3.11,2.03,0.13
04-08-2025,Internacional,Sao Paulo,1,2,1.45,0.47,52%,48%,11,9,4,4,2,0,4,5,83%,82%,1.31,1.52,3,1,4,4,5,8,6,1,0,0,12,15,0,0,0,3,19,23,46%,53%,72%,73%,6%,47%,0.41,0.90,14,23,23,19,57%,74%,51,64,14,24,16,6,0,0,0,0,1.52,1.31,-0.48,0.31
03-08-2025,Vitoria,Palmeiras,2,2,0.99,1.72,40%,60%,15,13,6,4,1,3,6,2,79%,84%,1.83,1.15,7,7,2,2,9,8,6,5,1,0,29,17,1,0,3,2,21,13,58%,59%,66%,76%,17%,24%,0.66,0.94,30,20,13,21,74%,46%,66,44,33,25,6,11,0,0,0,0,1.15,1.83,-0.85,-0.17
03-08-2025,Atletico-MG,RB Bragantino,2,1,3.12,0.72,58%,42%,29,4,10,3,5,2,9,0,87%,76%,2.38,1.67,12,1,7,0,20,3,9,1,0,0,44,11,0,0,1,3,11,13,59%,48%,82%,48%,33%,33%,1.77,0.34,17,26,13,11,67%,53%,31,41,17,18,9,11,0,1,0,0,1.67,2.38,0.67,0.79
03-08-2025,Ceara,Flamengo,1,1,0.61,1.25,31%,69%,9,14,4,4,1,1,3,7,76%,88%,1.66,1.57,5,7,0,3,8,9,1,5,1,0,11,16,0,1,4,2,12,14,56%,52%,49%,75%,25%,23%,0.36,0.73,15,14,14,12,64%,57%,41,51,24,21,12,8,0,1,0,1,1.57,1.66,0.20,0.66
03-08-2025,Botafogo RJ,Cruzeiro,0,2,0.67,1.58,56%,44%,11,11,2,4,0,2,6,5,84%,80%,0.50,1.84,7,4,2,3,9,7,2,4,1,0,26,14,1,0,1,2,7,15,54%,47%,71%,71%,28%,22%,0.97,0.87,15,13,15,7,57%,55%,41,40,15,31,5,17,0,1,0,0,1.84,0.50,-0.16,0.50
03-08-2025,Corinthians,Fortaleza,1,1,1.86,1.04,68%,32%,18,8,5,3,3,1,5,3,87%,78%,1.88,0.36,9,3,4,2,14,5,4,3,2,0,31,9,0,1,3,3,17,10,70%,49%,73%,65%,33%,18%,1.00,0.33,26,17,10,17,86%,50%,66,46,18,41,4,16,0,0,0,0,0.36,1.88,-0.64,0.88
