DATE,HOME_TEAM,AWAY_TEAM,HOME_GOALS,AWAY_GOALS,EXPECTED_GOALS_HOME,EXPECTED_GOALS_AWAY,TEAM_POSSESION_HOME,TEAM_POSSESION_AWAY,TOTAL_SHOTS_HOME,TOTAL_SHOTS_AWAY,SHOTS_ON_TARGET_HOME,SHOTS_ON_TARGET_AWAY,BIG_CHANCES_HOME,BIG_CHANCES AWAY,CORNERS_HOME,CORNERS_AWAY,%_PASSES_SUCCEED_HOME,%_PASSES_SUCCEED_AWAY,EXPECTED_GOALS_REMATES_À_BALIZA_HOME,EXPECTED_GOALS_REMATES_À_BALIZA_AWAY,SHOTS_OF_TARGET_HOME,SHOTS_OF_TARGET_AWAY,BLOCKED_SHOTS_HOME,BLOCKED_SHOTS_AWAY,SHOTS_INSIDE_THE_BOX_HOME,SHOTS_INSIDE_THE_BOX_AWAY,SHOTS_OUTSIDE_THE_BOX_HOME,SHOTS_OUTSIDE_THE_BOX_AWAY,SHOTS_AT_CROSSBAR_HOME,SHOTS_AT_CROSSBAR_AWAY,TOUCHES_IN_THE_OPPOSITION_AREA_HOME,TOUCHES_IN_THE_OPPOSITION_AREA_AWAY,ACCURATE_DEEP_PASSES_HOME,ACCURATE_DEEP_PASSES_AWAY,OFFSIDES_HOME,OFFSIDES_AWAY,FREE_KICK_HOME,FREE_KICK_AWAY,%_LONG_PASSES_HOME,%_LONG_PASSES_AWAY,%_PASSES_FINAL_THIRD_HOME,%_PASSES_FINAL_THIRD_AWAY,%_CROSSES_HOME,%_CROSSES_AWAY,EXPECTED_ASSISTS_HOME,EXPECTED_ASSISTS_AWAY,THROWS_HOME,THROWS_AWAY,FOULS_HOME,FOULS_AWAY,%_TACKLES_HOME,%_TACKLES_AWAY,DUELS_WON_HOME,DUELS_WON_AWAY,CLEARENCES_HOME,CLEARENCES_AWAY,INTERCEPTIONS_HOME,INTERCEPTIONS_AWAY,ERRORS_THAT_LEAD_TO_SHOTS_HOME,ERRORS_THAT_LEAD_TO_SHOTS_AWAY,ERROS_THAT_LEAD_TO_GOAL_HOME,ERROS_THAT_LEAD_TO_GOAL_AWAY,EXPECTED_GOALS_ON_TARGET_FACED_HOME,EXPECTED_GOALS_ON_TARGET_FACED_AWAY,GOLS_PREVENTED_HOME,GOLS_PREVENTED_AWAY
24-08-2025,Toulouse,Brest,2,0,1.29,0.97,47%,53%,6,16,3,2,1,0,3,9,81%,82%,1.28,0.07,3,6,0,8,6,10,0,6,1,0,17,25,1,0,3,2,9,12,47%,40%,59%,65%,30%,41%,0.58,1.22,18,16,14,10,61%,56%,55,59,30,20,5,9,0,0,0,0,0.07,1.28,0.07,-0.72
24-08-2025,Lorient,Rennes,4,0,3.04,0.07,51%,49%,22,5,7,1,6,0,3,2,88%,87%,3.44,0.03,9,3,6,1,13,0,9,4,0,1,49,4,1,1,4,2,7,17,68%,42%,80%,73%,24%,0%,2.06,0.14,9,12,18,7,86%,36%,30,45,18,29,14,8,0,1,0,2,0.03,3.44,0.03,-0.56
23-08-2025,Lyon,Metz,3,0,2.76,0.57,52%,48%,13,11,8,2,3,0,4,3,92%,91%,3.06,0.98,3,3,2,6,9,7,4,4,1,0,23,17,1,0,1,3,15,13,60%,73%,75%,81%,50%,33%,1.40,0.49,19,11,13,15,39%,67%,44,36,15,5,5,2,1,0,0,0,0.98,3.06,0.98,0.06
23-08-2025,Nice,Auxerre,3,1,1.95,1.51,55%,45%,16,12,6,8,5,6,5,4,87%,79%,2.15,2.01,9,2,1,2,9,8,7,4,1,1,22,13,1,1,1,0,15,10,55%,31%,75%,60%,26%,14%,1.20,0.73,15,15,10,15,50%,42%,58,50,21,21,10,5,1,1,0,0,2.01,2.15,1.01,0.15
23-08-2025,Marseille,Paris FC,5,2,2.83,1.09,61%,39%,12,8,7,4,7,3,5,2,91%,88%,2.47,1.35,4,4,1,0,9,6,2,2,1,1,26,9,1,1,1,1,12,8,53%,38%,71%,59%,42%,25%,0.81,1.07,15,19,9,12,83%,70%,35,24,19,28,2,11,3,0,0,2,1.35,2.47,-0.65,-2.53
22-08-2025,PSG,Angers,1,0,1.85,0.24,83%,17%,21,3,4,0,2,1,12,0,94%,72%,0.68,0.00,13,3,4,0,8,3,13,0,1,1,45,4,0,1,1,1,8,3,81%,35%,89%,29%,25%,67%,1.62,0.36,21,9,3,9,74%,65%,46,43,3,40,6,14,0,0,0,1,0.00,0.68,0.00,-0.32
17-08-2025,Nantes,PSG,0,1,0.14,1.43,29%,71%,6,18,0,4,0,1,2,7,74%,91%,0.00,0.19,5,7,1,7,2,12,3,6,0,1,12,44,0,1,0,1,6,6,40%,74%,51%,88%,17%,19%,0.10,1.72,12,17,6,6,52%,64%,40,38,18,9,8,6,0,0,0,0,0.19,0.00,-0.81,0.00
17-08-2025,Angers,Paris FC,1,0,0.97,0.92,32%,68%,8,17,2,7,1,1,3,7,74%,90%,0.40,1.73,3,6,3,4,5,5,3,12,0,0,11,20,1,0,0,3,10,12,39%,72%,65%,81%,0%,8%,0.43,0.49,16,18,14,10,65%,25%,44,38,28,12,4,5,1,0,0,1,1.73,0.40,1.73,-0.60
17-08-2025,Auxerre,Lorient,1,0,1.43,1.37,44%,56%,7,14,3,3,2,3,4,5,81%,84%,0.49,0.57,3,6,1,5,4,11,3,3,1,0,10,23,0,1,0,2,13,17,34%,52%,57%,61%,13%,17%,0.16,0.70,14,23,18,14,48%,56%,65,53,23,20,7,6,1,0,0,0,0.57,0.49,0.57,-0.51
17-08-2025,Metz,Strasbourg,0,1,0.30,0.63,37%,63%,2,9,0,4,0,1,3,3,78%,89%,0.00,0.85,2,2,0,3,2,4,0,5,0,0,13,16,0,0,1,1,12,14,35%,58%,51%,72%,15%,8%,0.26,0.73,12,23,16,13,80%,57%,54,66,34,23,10,5,0,0,0,0,0.85,0.00,-0.15,0.00
17-08-2025,Brest,Lille,3,3,2.02,1.62,46%,54%,18,10,5,6,2,3,2,2,74%,82%,3.14,1.98,8,0,5,4,12,7,6,3,1,0,20,20,1,2,1,2,13,9,37%,55%,54%,71%,18%,36%,1.07,1.08,21,22,11,13,50%,47%,52,52,17,29,7,10,0,0,2,0,1.98,3.14,-1.02,0.14
16-08-2025,Nice,Toulouse,0,1,0.79,0.61,57%,43%,13,10,2,2,1,0,9,4,85%,85%,0.23,0.38,5,6,6,2,4,7,9,3,1,0,31,33,1,1,0,0,13,12,43%,46%,72%,70%,29%,29%,1.26,0.93,19,8,12,13,47%,61%,50,53,27,41,5,2,0,0,0,0,0.38,0.23,-0.62,0.23
16-08-2025,Monaco,Le Havre,3,1,1.76,0.60,74%,26%,13,9,3,4,2,1,5,4,89%,72%,1.74,1.27,5,3,5,2,7,5,6,4,1,0,30,8,0,0,5,1,12,5,55%,32%,76%,51%,5%,15%,0.90,0.18,23,12,5,14,36%,38%,44,39,11,43,8,8,2,1,0,1,1.27,1.74,0.27,-0.26
16-08-2025,Lens,Lyon,0,1,1.38,1.41,55%,45%,18,11,5,3,4,2,13,8,85%,80%,1.65,1.63,9,7,4,1,11,8,7,3,0,0,49,21,1,0,5,1,19,13,70%,40%,78%,59%,16%,27%,1.36,0.85,20,9,13,20,58%,76%,53,43,17,34,11,7,0,1,0,0,1.63,1.65,0.63,1.65
15-08-2025,Rennes,Marseille,1,0,1.39,1.79,28%,72%,12,24,5,2,3,3,1,12,77%,92%,1.06,0.75,2,13,5,9,8,15,4,9,0,2,17,34,1,0,5,0,10,8,41%,61%,56%,86%,50%,24%,0.31,1.38,11,17,8,11,44%,53%,35,33,41,16,4,4,0,1,0,0,0.75,1.06,0.75,0.06
